Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential
Odilon Kossounou,2001-01-04,SerieA,Atalanta,Right,Côte d'Ivoire,Center Backs,1125,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.04,0.0,0.05,1.04,3.68,1.12,0.48,0.32,66.7,0.0,0.0,17.5,0.0,0.09,-0.04,-0.04,47.92,54.32,88.2,850.0,286.96,20.48,22.24,92.1,22.4,24.64,90.9,4.24,5.84,72.6,0.02,0.08,4.24,0.16,0.0,52.24,2.0,1.28,0.08,0.24,0.24,0.72,0.0,0.0,0.0,0.0,0.08,0.48,0.56,0.48,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.88,0.64,0.48,0.16,0.48,1.04,46.2,0.56,1.28,0.48,1.04,2.32,2.0,0.08,63.2,3.92,21.92,34.08,7.44,1.2,63.2,0.96,0.4,41.7,0.56,58.3,36.48,178.24,90.8,0.56,0.32,0.96,0.24,42.56,0.0,1.2,0.48,0.08,0.0,0.0,0.0,4.96,1.84,1.36,57.5,1842,24.0,77.78725210200237,79.75691096256683
Pierre Kalulu,2000-06-05,SerieA,Juventus,Right,France,Center Backs,2337,0.04,0.0,0.04,0.04,0.0,0.0,0.08,0.04,0.03,0.03,0.02,0.05,1.85,4.51,0.92,0.27,0.12,42.9,0.14,0.33,10.9,0.0,0.1,0.01,0.01,74.4,79.95,93.1,1233.58,375.33,35.2,36.93,95.3,34.58,36.12,95.7,3.7,5.12,72.2,0.03,0.42,5.12,0.42,0.19,75.75,4.12,1.69,0.08,0.15,0.85,1.04,0.0,0.0,0.0,0.0,0.08,0.42,1.39,1.16,0.0,0.04,0.04,0.12,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.58,0.96,1.12,0.35,0.12,0.69,0.92,75.0,0.23,1.04,0.58,0.65,2.23,2.62,0.04,87.61,7.01,35.58,46.1,6.35,0.65,87.61,0.42,0.15,36.4,0.19,45.5,60.04,364.39,195.98,1.39,0.08,0.73,0.27,67.47,0.0,1.0,0.73,0.08,0.0,0.04,0.0,3.66,1.04,1.81,36.5,1806,25.0,77.99079504776473,78.33258522375489
Lloyd Kelly,1998-10-06,SerieA,Juventus,Left,England,Center Backs,1013,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.04,0.04,0.01,0.04,0.89,3.2,2.31,0.62,0.09,14.3,0.0,0.0,17.6,0.0,0.06,-0.04,-0.04,49.66,59.79,83.1,816.04,257.83,23.54,25.41,92.7,21.59,24.25,89.0,3.11,7.2,43.2,0.03,0.27,4.8,0.18,0.0,55.62,4.18,1.42,0.09,0.18,1.24,1.42,0.0,0.0,0.0,0.0,0.0,1.16,1.07,0.89,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.98,0.44,0.8,0.09,0.62,0.8,77.8,0.18,0.98,0.53,0.18,1.51,4.98,0.27,70.81,8.17,28.7,34.03,8.44,1.6,70.81,0.09,0.0,0.0,0.09,100.0,38.47,193.59,103.06,0.8,0.0,0.8,0.27,46.2,0.0,1.24,0.36,0.0,0.0,0.0,0.0,4.89,3.2,2.22,59.0,1806,27.0,75.99078232898283,75.99078232898283
Obite N'Dicka,1999-08-20,SerieA,Roma,Left,Côte d'Ivoire,Center Backs,3420,0.0,0.03,0.03,0.0,0.0,0.0,0.05,0.0,0.03,0.03,0.02,0.05,0.76,2.82,0.13,0.47,0.13,27.8,0.0,0.0,11.2,0.0,0.06,-0.03,-0.03,60.39,65.58,92.1,1110.21,372.03,21.34,22.18,96.2,33.89,35.26,96.1,4.34,6.79,64.0,0.01,0.21,3.26,0.08,0.0,62.47,3.03,1.47,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.08,0.24,0.87,0.79,0.0,0.0,0.08,0.0,0.0,0.08,0.03,0.0,0.0,0.05,0.0,0.0,0.84,0.68,0.45,0.39,0.0,0.37,0.55,66.7,0.18,1.21,0.79,0.87,1.71,3.95,0.05,74.29,9.47,35.47,36.87,2.24,0.68,74.29,0.08,0.0,0.0,0.05,66.7,45.63,230.24,105.5,0.5,0.0,0.53,0.08,54.34,0.0,0.97,0.61,0.03,0.0,0.0,0.0,3.53,1.61,1.29,55.5,1820,26.0,79.2000878992182,79.2000878992182
Gianluca Mancini,1996-04-17,SerieA,Roma,Right,Italy,Center Backs,3143,0.06,0.0,0.06,0.06,0.0,0.0,0.23,0.0,0.05,0.05,0.03,0.07,1.29,3.98,0.66,0.63,0.14,22.7,0.09,0.4,12.3,0.0,0.08,0.01,0.01,48.36,56.27,86.0,893.18,305.51,17.9,19.33,92.6,25.69,27.86,92.2,4.07,7.42,54.8,0.02,0.4,3.95,0.49,0.11,53.15,3.06,2.41,0.03,0.11,0.95,0.63,0.0,0.0,0.0,0.0,0.06,0.54,1.17,1.0,0.0,0.0,0.11,0.03,0.03,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.2,0.74,0.63,0.52,0.06,0.57,0.97,58.8,0.4,0.63,0.46,1.0,2.2,2.95,0.0,64.14,5.07,25.94,32.44,5.96,1.2,64.14,0.26,0.03,11.1,0.11,44.4,38.4,167.46,95.93,1.26,0.09,0.29,0.23,46.07,0.0,1.4,0.97,0.17,0.0,0.0,0.0,2.83,1.72,0.97,63.8,1820,29.0,78.4474999975795,78.4474999975795
Mats Hummels,1988-12-16,SerieA,Roma,Right,Germany,Center Backs,915,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.05,0.01,0.05,0.39,2.56,0.1,0.79,0.1,12.5,0.0,0.0,15.3,0.0,0.06,-0.05,-0.05,38.26,42.98,89.0,708.2,256.82,13.77,14.66,94.0,21.54,23.02,93.6,2.66,4.03,65.9,0.01,0.2,1.48,0.0,0.0,41.41,1.57,1.28,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.69,0.79,0.59,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.95,1.48,1.57,1.38,0.0,1.08,1.77,61.1,0.69,1.18,0.39,2.56,5.51,4.23,0.0,55.08,5.61,21.84,30.79,2.85,0.98,55.08,0.59,0.39,66.7,0.2,33.3,27.44,128.46,62.66,0.89,0.0,0.0,0.1,31.87,0.0,0.89,0.39,0.0,0.0,0.0,0.1,4.03,2.26,1.48,60.5,1820,37.0,75.31111366393887,75.31111366393887
Luca Ranieri,1999-04-23,SerieA,Fiorentina,Left,Italy,Center Backs,3071,0.03,0.09,0.12,0.03,0.0,0.0,0.21,0.0,0.03,0.03,0.05,0.08,0.73,2.34,0.32,0.32,0.15,45.5,0.09,0.2,16.2,0.0,0.11,0.0,0.0,45.07,52.75,85.4,849.86,308.39,16.73,17.79,94.1,22.89,24.65,92.9,4.86,8.67,56.1,0.04,0.47,2.46,0.32,0.15,48.91,3.4,2.26,0.0,0.23,0.26,0.23,0.0,0.0,0.0,0.0,0.44,0.41,0.82,0.7,0.0,0.06,0.06,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,1.23,0.7,0.82,0.35,0.06,0.59,0.73,80.0,0.15,1.38,0.94,0.82,2.05,4.51,0.03,62.25,7.94,31.59,28.69,2.37,0.47,62.25,0.56,0.26,47.4,0.26,47.4,36.16,173.73,88.71,0.56,0.06,0.29,0.09,41.15,0.0,0.73,0.67,0.03,0.0,0.03,0.0,2.78,1.41,1.64,46.2,1757,26.0,77.5272785126954,77.5272785126954
Marin Pongračić,1997-09-11,SerieA,Fiorentina,Right,Croatia,Center Backs,1367,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.01,0.01,0.01,0.03,0.46,2.24,0.33,0.13,0.07,50.0,0.0,0.0,17.7,0.0,0.09,-0.01,-0.01,45.49,51.02,89.2,921.66,308.91,12.51,13.63,91.8,26.66,28.31,94.2,5.6,7.7,72.6,0.02,0.33,2.83,0.2,0.0,47.21,3.82,3.23,0.07,0.33,0.07,0.4,0.07,0.0,0.0,0.0,0.0,0.26,0.79,0.66,0.13,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.19,0.86,0.86,0.26,0.07,0.46,0.72,63.6,0.26,0.92,0.4,0.79,1.98,4.54,0.13,60.7,8.95,32.52,26.27,2.77,0.4,60.7,0.92,0.59,64.3,0.26,28.6,36.87,233.33,96.45,0.86,0.07,0.66,0.46,38.52,0.07,1.71,0.46,0.0,0.0,0.0,0.07,4.81,1.65,0.72,69.4,1757,28.0,75.15894992915759,75.15894992915759
Pablo Marí,1993-08-31,SerieA,Fiorentina,Left,Spain,Center Backs,2726,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.01,0.01,0.0,0.01,0.23,2.81,0.03,0.23,0.03,14.3,0.0,0.0,18.1,0.0,0.04,-0.01,-0.01,51.57,57.15,90.2,972.24,351.61,17.14,17.99,95.2,29.25,30.57,95.7,4.66,7.43,62.7,0.01,0.1,2.67,0.0,0.0,53.29,3.63,1.78,0.0,0.17,0.03,0.13,0.0,0.0,0.0,0.0,0.23,0.13,0.86,0.79,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.32,0.79,0.83,0.5,0.0,0.56,1.06,53.1,0.5,1.42,1.16,2.05,3.37,5.91,0.07,68.67,11.95,39.62,28.16,1.09,0.33,68.67,0.23,0.2,85.7,0.03,14.3,38.76,162.63,75.8,0.26,0.0,0.13,0.23,43.84,0.03,1.35,0.33,0.0,0.0,0.03,0.0,3.24,2.34,1.09,68.3,1757,32.0,76.47753598310402,76.47753598310402
Mario Gila,2000-08-29,SerieA,Lazio,Right,Spain,Center Backs,2741,0.03,0.0,0.03,0.03,0.0,0.0,0.26,0.0,0.04,0.04,0.02,0.06,1.58,5.16,0.39,0.49,0.13,26.7,0.07,0.25,16.7,0.0,0.07,0.0,0.0,61.63,67.28,91.6,1213.18,395.1,19.7,20.78,94.8,34.08,35.66,95.6,7.19,9.26,77.7,0.03,0.49,5.29,0.3,0.03,64.22,2.92,1.81,0.13,0.66,0.2,0.23,0.0,0.0,0.0,0.0,0.13,0.36,1.25,1.12,0.03,0.0,0.07,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.81,1.21,1.15,0.59,0.07,1.21,1.84,66.1,0.62,0.66,0.43,0.92,2.73,3.78,0.13,76.8,7.91,32.05,41.01,4.37,0.92,76.8,0.49,0.13,26.7,0.26,53.3,48.5,278.6,156.19,1.21,0.0,0.56,0.23,54.93,0.0,1.05,0.99,0.0,0.0,0.0,0.03,5.02,2.17,2.04,51.6,1770,25.0,78.79087941553861,78.79482648645543
Alessio Romagnoli,1995-01-12,SerieA,Lazio,Left,Italy,Center Backs,2672,0.07,0.0,0.07,0.07,0.0,0.0,0.13,0.07,0.08,0.08,0.01,0.09,0.27,3.03,0.13,0.67,0.24,35.0,0.1,0.29,9.8,0.0,0.12,-0.01,-0.01,54.7,59.62,91.8,941.56,329.58,22.7,23.88,95.1,28.26,29.54,95.7,2.96,4.58,64.7,0.01,0.3,3.6,0.17,0.0,54.2,5.25,1.95,0.03,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.17,0.24,0.91,0.84,0.0,0.0,0.07,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.62,0.98,0.67,0.88,0.07,0.74,0.91,81.5,0.17,1.11,0.57,0.88,2.49,3.97,0.03,68.78,9.09,31.09,35.2,2.8,1.38,68.78,0.1,0.03,33.3,0.07,66.7,35.84,143.18,61.5,0.2,0.0,0.2,0.03,46.18,0.0,0.98,0.47,0.07,0.0,0.0,0.0,3.23,2.83,1.58,64.1,1770,30.0,76.56686214236181,76.56686214236181
