Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Daniel Maldini,2001-10-11,SerieA,Atalanta,Right,Italy,Att Mid / Wingers,1564,0.35,0.0,0.35,0.35,0.0,0.0,0.29,0.0,0.38,0.38,0.07,0.45,3.05,2.36,5.52,2.82,1.04,36.7,0.12,0.33,18.8,0.29,0.14,-0.03,-0.03,18.53,27.56,67.2,290.14,57.54,10.24,13.18,77.7,6.27,8.75,71.7,1.44,2.99,48.1,0.08,0.86,0.98,0.52,0.12,25.2,2.3,0.52,0.06,0.29,2.47,0.12,0.81,0.23,0.58,0.0,0.06,1.09,2.82,1.73,0.17,0.35,0.35,0.23,0.0,0.35,0.23,0.0,0.0,0.12,0.0,0.0,0.92,0.46,0.29,0.58,0.06,0.4,0.86,46.7,0.46,0.52,0.12,0.35,1.27,0.86,0.12,41.66,0.98,4.6,20.14,17.84,3.74,41.66,5.18,2.07,40.0,2.7,52.2,27.79,190.99,91.38,2.24,1.15,2.53,2.07,31.02,0.0,1.04,2.65,0.17,0.0,0.0,0.0,3.45,1.73,1.84,48.4,1842,24.0,77.08573504705113,79.03763072347188,1,Direct Dribbling Threats
Kenan Yıldız,2005-05-04,SerieA,Juventus,Right,Turkey,Att Mid / Wingers,2402,0.26,0.15,0.41,0.26,0.0,0.0,0.07,0.04,0.16,0.16,0.19,0.35,4.31,4.53,8.36,2.29,0.82,36.1,0.11,0.32,17.5,0.0,0.07,0.1,0.1,33.57,42.11,79.7,515.83,140.62,19.41,21.69,89.5,11.5,14.13,81.4,1.99,4.23,46.9,0.18,2.14,2.62,1.95,0.49,38.97,2.96,0.22,0.34,0.07,4.31,0.79,1.87,0.9,0.52,0.0,0.19,0.9,4.87,3.22,0.41,0.49,0.45,0.19,0.11,0.37,0.26,0.0,0.07,0.04,0.0,0.0,2.02,1.12,0.49,0.97,0.56,0.67,1.2,56.3,0.52,0.94,0.0,0.19,2.21,0.49,0.11,55.64,0.64,6.03,22.11,28.18,3.86,55.64,4.16,2.21,53.2,1.84,44.1,36.12,230.77,126.49,2.21,1.61,3.22,1.54,41.82,0.0,0.94,1.8,0.15,0.0,0.0,0.0,4.61,0.3,0.97,23.5,1806,20.0,79.76096486591003,87.58979632057597,4,World-Class Wingers
Teun Koopmeiners,1998-02-28,SerieA,Juventus,Left,Netherlands,Att Mid / Wingers,1994,0.14,0.14,0.27,0.14,0.0,0.0,0.14,0.0,0.18,0.18,0.13,0.31,1.44,4.02,5.73,1.9,0.45,23.8,0.07,0.3,18.2,0.09,0.09,-0.04,-0.04,34.35,43.01,79.9,543.66,141.41,17.83,19.72,90.4,12.86,14.8,86.9,2.57,6.14,41.9,0.17,1.72,2.84,0.81,0.14,36.97,5.82,1.53,0.18,0.14,5.1,0.81,3.34,1.99,1.26,0.0,0.23,0.54,2.84,1.76,0.77,0.09,0.09,0.09,0.05,0.14,0.09,0.05,0.0,0.0,0.0,0.0,1.44,0.72,0.27,0.86,0.32,0.45,1.35,33.3,0.9,1.62,0.63,0.36,1.81,1.17,0.09,52.81,1.72,8.12,23.88,21.12,2.26,52.81,0.99,0.45,45.5,0.5,50.0,26.68,123.72,57.14,1.26,0.23,1.81,0.72,35.66,0.0,1.44,0.41,0.14,0.0,0.0,0.0,2.3,0.99,0.99,50.0,1806,27.0,76.54210058616839,76.54210058616839,0,Hybrid Orchestrators
Nicolás González,1998-04-06,SerieA,Juventus,Left,Argentina,Att Mid / Wingers,1750,0.15,0.1,0.26,0.15,0.0,0.0,0.15,0.0,0.21,0.21,0.06,0.26,1.8,3.55,6.33,2.31,1.08,46.7,0.07,0.14,15.7,0.0,0.09,-0.06,-0.06,24.89,32.76,76.0,398.83,84.03,12.14,14.71,82.5,10.13,12.03,84.2,1.7,2.83,60.0,0.06,0.98,1.44,0.98,0.05,30.65,1.95,0.05,0.15,0.1,0.77,1.65,0.05,0.05,0.0,0.0,0.15,1.23,2.42,1.65,0.1,0.15,0.26,0.21,0.05,0.21,0.15,0.0,0.0,0.05,0.0,0.0,1.23,0.67,0.51,0.46,0.26,0.46,1.29,36.0,0.82,0.82,0.21,0.46,1.7,1.9,0.1,45.41,2.26,8.13,18.67,19.34,3.34,45.41,2.73,0.87,32.1,1.54,56.6,23.55,143.85,65.37,2.06,0.51,1.95,0.77,31.42,0.0,1.54,2.06,0.31,0.0,0.0,0.0,3.55,3.03,2.42,55.7,1806,27.0,76.57937206897824,76.57937206897824,2,Secondary Attackers
Francisco Conceição,2002-12-14,SerieA,Juventus,Left,Portugal,Att Mid / Wingers,1340,0.2,0.2,0.4,0.2,0.0,0.0,0.34,0.07,0.15,0.15,0.29,0.44,6.38,2.35,9.6,2.69,0.87,32.5,0.08,0.23,18.1,0.07,0.06,0.05,0.05,28.68,36.6,78.3,472.3,75.36,14.78,17.6,84.0,11.22,12.76,87.9,2.01,3.76,53.6,0.3,1.88,1.07,1.34,0.67,34.46,2.15,0.27,0.0,0.27,4.16,0.67,1.21,0.54,0.2,0.0,0.0,1.41,4.3,3.02,0.27,0.67,0.27,0.07,0.0,0.6,0.34,0.07,0.07,0.07,0.07,0.0,1.54,0.94,0.4,0.6,0.54,0.87,2.01,43.3,1.14,0.47,0.0,0.4,1.95,0.4,0.0,49.63,0.74,5.84,16.39,28.54,6.18,49.63,5.31,2.35,44.3,2.49,46.8,36.81,289.41,153.94,2.15,3.96,2.35,1.48,39.02,0.07,1.61,2.42,0.27,0.07,0.0,0.0,3.69,0.13,0.6,18.2,1806,23.0,77.06513678660988,80.02799473925107,4,World-Class Wingers
Matìas Soulé,2003-04-15,SerieA,Roma,Left,Argentina,Att Mid / Wingers,1781,0.25,0.25,0.51,0.25,0.0,0.0,0.15,0.0,0.15,0.15,0.26,0.42,4.24,4.5,9.65,2.12,0.66,31.0,0.12,0.38,21.1,0.05,0.07,0.1,0.1,39.67,48.26,82.2,604.23,144.98,22.84,24.91,91.7,12.28,15.16,81.0,2.98,5.15,57.8,0.17,2.58,2.68,1.72,0.61,43.11,5.05,1.06,0.25,0.1,4.45,1.77,1.92,1.16,0.4,0.0,0.1,0.76,4.55,3.18,0.86,0.15,0.25,0.1,0.0,0.4,0.25,0.05,0.0,0.05,0.05,0.0,1.31,0.81,0.61,0.35,0.35,0.51,1.16,43.5,0.66,1.26,0.15,0.45,1.77,1.26,0.0,64.23,1.21,6.92,23.85,34.01,3.69,64.23,5.46,1.77,32.4,2.73,50.0,40.12,238.72,123.5,2.83,1.62,2.83,1.62,46.24,0.0,0.61,1.82,0.05,0.0,0.0,0.0,5.31,0.51,0.86,37.0,1820,22.0,79.32293464124221,83.99099255206595,4,World-Class Wingers
Lorenzo Pellegrini,1996-06-19,SerieA,Roma,Right,Italy,Att Mid / Wingers,1626,0.11,0.06,0.17,0.06,0.06,0.06,0.22,0.0,0.26,0.22,0.14,0.35,1.49,3.38,4.54,2.27,0.72,31.7,0.02,0.08,19.2,0.11,0.1,-0.15,-0.16,28.73,36.14,79.5,463.23,103.23,13.51,15.44,87.5,11.29,13.34,84.6,2.32,4.7,49.4,0.15,1.49,1.94,1.05,0.0,31.83,4.04,1.44,0.28,0.0,2.71,0.44,1.99,1.11,0.55,0.0,0.28,0.72,3.32,1.83,0.77,0.11,0.44,0.11,0.06,0.28,0.11,0.0,0.0,0.17,0.0,0.0,1.33,0.89,0.28,0.72,0.33,0.44,1.05,42.1,0.61,0.44,0.06,0.33,1.66,1.22,0.0,45.66,1.16,5.98,22.14,18.16,2.93,45.61,1.49,0.61,40.7,0.89,59.3,25.63,156.86,65.59,1.49,0.28,1.44,0.89,32.6,0.0,1.44,1.49,0.22,0.0,0.0,0.0,3.38,0.55,1.11,33.3,1820,29.0,76.60723789706839,76.60723789706839,2,Secondary Attackers
Andrea Colpani,1999-05-11,SerieA,Fiorentina,Left,Italy,Att Mid / Wingers,1450,0.12,0.06,0.19,0.12,0.0,0.0,0.06,0.0,0.17,0.17,0.08,0.24,2.3,3.54,8.01,2.23,0.74,33.3,0.06,0.17,18.5,0.12,0.07,-0.04,-0.04,23.34,28.92,80.7,366.64,74.86,13.28,14.28,93.0,7.88,9.87,79.9,1.61,3.35,48.1,0.08,1.06,1.18,0.93,0.06,26.63,2.11,0.43,0.12,0.37,2.05,0.31,1.37,0.74,0.06,0.0,0.19,0.43,2.67,2.11,0.25,0.0,0.25,0.06,0.0,0.31,0.19,0.0,0.0,0.12,0.0,0.0,0.93,0.56,0.31,0.43,0.19,0.25,0.74,33.3,0.5,0.43,0.0,0.56,1.49,0.62,0.0,37.8,0.56,3.85,15.58,18.56,3.04,37.8,1.68,0.74,44.4,0.81,48.1,24.52,149.77,67.9,2.17,0.81,1.61,1.37,27.87,0.0,1.37,1.49,0.06,0.0,0.0,0.0,2.86,0.62,0.93,40.0,1757,26.0,75.64934916307797,75.64934916307797,2,Secondary Attackers
Riccardo Sottil,1999-06-03,SerieA,Milan,Right,Italy,Att Mid / Wingers,956,0.09,0.09,0.19,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.11,0.21,7.72,1.98,10.73,2.26,0.56,25.0,0.04,0.17,18.9,0.09,0.04,0.0,0.0,22.31,31.35,71.2,343.53,59.03,12.43,14.87,83.5,8.85,12.05,73.4,0.85,2.73,31.0,0.13,1.41,0.66,1.41,0.56,29.65,1.51,0.38,0.09,0.09,4.71,0.47,0.66,0.28,0.0,0.0,0.19,0.75,3.77,2.54,0.0,0.56,0.28,0.38,0.0,0.38,0.28,0.0,0.0,0.0,0.09,0.0,0.56,0.47,0.38,0.09,0.09,0.28,0.38,75.0,0.09,0.09,0.0,0.38,0.94,0.28,0.0,39.45,0.28,4.24,12.99,23.54,4.42,39.45,2.92,1.13,38.7,1.04,35.5,30.03,308.13,196.0,3.39,2.82,2.26,0.85,31.07,0.0,0.75,3.39,0.09,0.09,0.0,0.0,4.61,0.47,0.85,35.7,1787,26.0,74.82829649892389,74.82829649892389,1,Direct Dribbling Threats
Jonathan Ikone,1998-05-02,SerieA,Como,Left,France,Att Mid / Wingers,874,0.21,0.0,0.21,0.21,0.0,0.0,0.1,0.0,0.26,0.26,0.03,0.29,3.6,3.09,9.68,2.57,1.03,40.0,0.08,0.2,13.5,0.0,0.1,-0.05,-0.05,22.86,27.8,82.2,326.84,69.82,14.0,16.27,86.1,7.31,8.44,86.6,0.72,0.93,77.8,0.09,0.41,1.54,1.13,0.0,27.19,0.62,0.21,0.41,0.21,0.21,0.31,0.0,0.0,0.0,0.0,0.0,0.72,2.78,1.54,0.0,0.41,0.31,0.41,0.1,0.31,0.21,0.0,0.0,0.0,0.0,0.1,2.06,1.13,0.72,0.51,0.82,0.82,1.54,53.3,0.72,0.82,0.1,0.1,2.16,0.21,0.1,41.7,0.62,4.84,16.68,21.01,5.15,41.7,4.74,1.54,32.6,2.99,63.0,27.7,190.5,104.11,2.06,1.65,1.34,2.16,30.69,0.0,0.62,1.44,0.21,0.0,0.0,0.0,3.81,0.41,0.72,36.4,1648,27.0,69.83023090698318,69.83023090698318,1,Direct Dribbling Threats
Mattia Zaccagni,1995-06-16,SerieA,Lazio,Right,Italy,Att Mid / Wingers,2686,0.27,0.2,0.47,0.2,0.07,0.07,0.34,0.0,0.21,0.16,0.15,0.32,3.05,3.82,8.85,1.54,0.47,30.4,0.13,0.43,17.3,0.07,0.11,0.05,0.04,29.22,38.57,75.8,473.66,125.92,15.28,16.75,91.2,10.45,13.74,76.1,2.55,5.63,45.2,0.14,1.84,1.71,1.31,0.2,33.14,5.36,1.31,0.34,0.2,5.23,0.67,3.38,1.61,1.01,0.0,0.07,1.04,3.59,2.31,0.8,0.03,0.2,0.2,0.03,0.3,0.23,0.07,0.0,0.0,0.0,0.0,1.27,0.9,0.44,0.7,0.13,0.54,1.07,50.0,0.54,0.64,0.03,0.97,2.25,0.74,0.07,48.85,0.87,4.79,18.8,25.93,3.35,48.79,3.22,1.47,45.8,1.24,38.5,30.52,217.83,103.3,2.11,0.9,1.64,1.34,36.32,0.0,1.17,3.28,0.3,0.0,0.0,0.0,2.88,0.64,0.7,47.5,1770,30.0,78.44809780197323,78.44809780197323,0,Hybrid Orchestrators
