Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Artem Dovbyk,1997-06-21,SerieA,Roma,Right,Ukraine,Forwards,2418,0.45,0.07,0.52,0.37,0.07,0.07,0.0,0.0,0.44,0.38,0.09,0.47,0.89,0.6,6.51,2.27,0.93,41.0,0.16,0.4,13.7,0.0,0.17,0.0,-0.01,11.95,16.12,74.1,130.83,16.08,7.89,10.24,77.1,2.31,2.98,77.5,0.19,0.22,83.3,0.06,0.93,0.63,0.15,0.0,14.67,1.3,0.0,0.07,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.15,0.41,1.94,1.6,0.0,0.15,0.15,0.04,0.0,0.22,0.11,0.0,0.07,0.04,0.0,0.0,0.15,0.07,0.0,0.04,0.11,0.0,0.15,0.0,0.15,0.37,0.11,0.07,0.22,0.45,0.0,24.34,0.56,1.08,9.71,13.59,5.4,24.27,0.67,0.26,38.9,0.41,61.1,13.21,49.58,16.64,0.37,0.52,2.94,1.23,18.76,0.0,1.12,0.6,0.82,0.0,0.0,0.0,0.97,1.56,2.23,41.2,1820,28.0,77.18929375379332,77.18929375379332,5,Dynamic Strike-Runners
Paulo Dybala,1993-11-15,SerieA,Roma,Left,Argentina,Forwards,1417,0.38,0.19,0.57,0.19,0.19,0.19,0.13,0.0,0.41,0.25,0.32,0.57,2.6,5.02,7.75,2.99,0.95,31.9,0.06,0.2,21.1,0.38,0.09,-0.03,-0.06,37.85,46.3,81.8,633.87,151.29,20.01,21.98,91.0,11.24,13.53,83.1,4.57,7.24,63.2,0.33,2.54,2.99,1.65,0.32,40.97,5.14,1.65,0.13,1.02,3.94,0.32,2.29,0.7,0.89,0.13,0.19,1.02,5.34,2.99,1.21,0.06,0.38,0.7,0.0,0.51,0.32,0.06,0.0,0.0,0.13,0.0,1.08,0.44,0.19,0.57,0.32,0.51,1.21,42.1,0.7,0.76,0.06,0.13,1.21,0.13,0.0,57.73,0.38,4.26,26.36,27.88,4.76,57.54,2.73,0.7,25.6,1.08,39.5,37.79,201.98,93.49,2.67,1.08,2.54,1.78,45.03,0.0,0.38,3.81,0.38,0.13,0.0,0.0,4.0,0.51,1.08,32.0,1820,32.0,77.435646315331,77.435646315331,2,Creative Withdrawn Forwards
Eldor Shomurodov,1995-06-29,SerieA,Roma,Right,Uzbekistan,Forwards,1097,0.33,0.33,0.66,0.33,0.0,0.0,0.08,0.0,0.39,0.39,0.11,0.5,1.56,1.72,5.09,2.38,1.07,44.8,0.14,0.31,11.9,0.0,0.16,-0.06,-0.06,17.64,23.46,75.2,236.86,38.31,11.08,13.62,81.3,4.92,5.91,83.3,0.57,0.74,77.8,0.11,1.39,0.82,0.49,0.0,22.97,0.49,0.0,0.08,0.16,0.49,0.0,0.0,0.0,0.0,0.0,0.0,1.15,2.63,2.22,0.0,0.0,0.33,0.0,0.08,0.57,0.57,0.0,0.0,0.0,0.0,0.0,1.15,0.49,0.16,0.57,0.41,0.25,0.49,50.0,0.25,0.82,0.08,0.25,1.39,0.41,0.0,36.59,0.41,2.71,14.93,19.36,4.27,36.59,2.3,0.66,28.6,1.56,67.9,20.18,98.2,42.25,1.39,0.74,4.02,1.56,27.32,0.0,1.15,0.57,0.25,0.0,0.0,0.0,2.95,2.13,3.12,40.6,1820,30.0,75.97444327943587,75.97444327943587,5,Dynamic Strike-Runners
Tammy Abraham,1997-10-02,SerieA,Milan,Right,England,Forwards,1184,0.23,0.3,0.53,0.15,0.08,0.15,0.08,0.0,0.54,0.41,0.17,0.58,0.61,2.05,5.4,1.98,0.84,42.3,0.08,0.18,13.4,0.0,0.21,-0.31,-0.26,11.63,17.03,68.3,152.03,43.02,7.15,9.5,75.2,3.5,5.7,61.3,0.3,0.53,57.1,0.1,1.06,1.06,0.76,0.0,15.66,1.29,0.0,0.38,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.08,0.46,2.51,2.13,0.0,0.0,0.3,0.08,0.0,0.68,0.53,0.0,0.0,0.08,0.08,0.0,1.29,0.84,0.15,0.76,0.38,0.46,0.68,66.7,0.23,0.99,0.0,0.15,1.44,1.22,0.0,28.2,1.52,3.5,13.23,11.48,4.41,28.05,1.06,0.3,28.6,0.76,71.4,12.24,43.63,15.66,0.46,0.3,1.75,0.99,18.62,0.0,1.75,0.91,0.53,0.08,0.0,0.0,0.91,2.81,2.51,52.9,1787,28.0,77.72164214091543,77.72164214091543,5,Dynamic Strike-Runners
Moise Kean,2000-02-28,SerieA,Fiorentina,Right,Italy,Forwards,2704,0.63,0.1,0.73,0.6,0.03,0.07,0.2,0.0,0.65,0.6,0.06,0.66,1.4,0.87,4.76,3.43,1.63,47.6,0.17,0.37,15.0,0.0,0.18,-0.01,0.0,7.59,10.85,69.9,115.06,18.37,4.26,5.36,79.5,2.46,3.66,67.3,0.47,0.57,82.4,0.04,0.63,0.5,0.33,0.03,9.82,0.97,0.03,0.03,0.17,0.3,0.1,0.03,0.0,0.0,0.0,0.07,0.5,1.9,0.87,0.03,0.53,0.27,0.17,0.03,0.23,0.07,0.0,0.1,0.07,0.0,0.0,0.23,0.17,0.03,0.07,0.13,0.1,0.13,75.0,0.03,0.4,0.0,0.2,0.43,0.87,0.03,23.3,0.93,1.63,10.18,12.18,4.39,23.23,3.36,1.46,43.6,1.63,48.5,15.11,81.88,35.88,0.93,1.07,3.23,1.76,18.01,0.0,1.36,1.73,1.9,0.0,0.03,0.0,1.73,1.7,1.6,51.5,1757,25.0,76.53372133572115,76.53372133572115,5,Dynamic Strike-Runners
Albert Guðmundsson,1997-06-15,SerieA,Fiorentina,Right,Iceland,Forwards,1273,0.42,0.07,0.49,0.28,0.14,0.14,0.14,0.0,0.32,0.21,0.13,0.34,2.47,2.62,4.17,1.77,0.92,52.0,0.16,0.31,20.8,0.14,0.12,0.11,0.08,29.34,35.35,83.0,418.61,82.29,15.98,17.18,93.0,10.39,12.37,84.0,0.99,2.26,43.8,0.07,1.06,2.4,0.14,0.0,32.45,2.83,0.57,0.07,0.07,1.7,0.35,0.49,0.42,0.0,0.0,0.07,0.99,2.76,1.84,0.14,0.14,0.35,0.28,0.0,0.35,0.21,0.0,0.0,0.0,0.14,0.0,0.64,0.35,0.14,0.28,0.21,0.49,1.2,41.2,0.71,0.35,0.0,0.42,1.06,0.64,0.07,44.12,0.64,5.59,23.47,15.55,2.26,43.97,1.91,1.06,55.6,0.42,22.2,28.42,178.09,77.06,1.91,0.78,2.05,0.99,32.95,0.0,0.92,1.27,0.21,0.07,0.0,0.0,3.75,0.28,0.85,25.0,1757,28.0,75.32018532347686,75.32018532347686,2,Creative Withdrawn Forwards
Christian Kouamé,1997-12-06,SerieA,Empoli,Right,Côte d'Ivoire,Forwards,1129,0.08,0.08,0.16,0.08,0.0,0.0,0.08,0.0,0.3,0.3,0.18,0.47,0.96,2.31,6.78,2.15,0.48,22.2,0.04,0.17,14.3,0.0,0.14,-0.22,-0.22,18.33,27.9,65.7,262.59,55.0,10.04,14.11,71.2,5.42,8.53,63.6,1.43,1.91,75.0,0.1,1.36,1.51,0.96,0.16,26.63,1.04,0.08,0.08,0.16,0.64,0.8,0.0,0.0,0.0,0.0,0.24,0.48,3.59,2.63,0.0,0.4,0.24,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.96,0.32,0.56,0.56,0.16,0.56,28.6,0.4,0.56,0.24,0.16,1.59,1.12,0.0,40.1,1.28,3.03,18.41,18.89,4.54,40.1,2.63,0.96,36.4,1.43,54.5,21.12,102.12,42.49,0.8,0.32,2.39,1.59,29.97,0.0,1.59,2.31,0.32,0.0,0.0,0.0,3.03,6.14,3.43,64.2,1578,28.0,71.44009725294083,71.44009725294083,0,Aerial Target Men
Valentín Castellanos,1998-10-03,SerieA,Lazio,Right,Argentina,Forwards,2384,0.38,0.11,0.49,0.3,0.08,0.11,0.34,0.04,0.51,0.43,0.14,0.56,1.02,2.49,5.63,3.96,1.36,34.3,0.08,0.22,16.8,0.11,0.11,-0.13,-0.12,13.82,20.42,67.7,195.18,47.08,7.97,10.5,75.9,4.49,6.49,69.2,0.6,1.06,57.1,0.1,0.98,1.81,0.53,0.08,18.46,1.89,0.0,0.34,0.04,0.94,0.19,0.0,0.0,0.0,0.0,0.08,0.76,2.76,1.4,0.04,0.19,0.87,0.19,0.08,0.53,0.26,0.0,0.04,0.11,0.08,0.04,0.49,0.23,0.08,0.15,0.26,0.04,0.38,10.0,0.34,0.68,0.08,0.23,0.72,0.94,0.0,31.52,0.76,2.15,13.33,16.38,5.85,31.41,1.4,0.6,43.2,0.72,51.4,15.97,71.31,32.01,0.83,0.57,2.08,1.09,23.33,0.0,1.43,1.59,0.64,0.04,0.0,0.0,1.93,2.57,2.27,53.1,1770,27.0,78.04335308502839,78.04335308502839,5,Dynamic Strike-Runners
Álvaro Morata,1992-10-23,SerieA,Galatasaray,Right,Spain,Forwards,1099,0.41,0.0,0.41,0.41,0.0,0.0,0.41,0.0,0.32,0.32,0.07,0.38,1.47,2.13,5.16,2.21,0.82,37.0,0.19,0.5,11.3,0.0,0.15,0.09,0.09,16.54,21.95,75.4,257.72,44.06,9.66,12.2,79.2,4.5,6.06,74.3,1.56,2.29,67.9,0.02,0.57,1.23,0.25,0.0,20.39,1.56,0.16,0.25,0.41,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.72,1.31,0.0,0.08,0.08,0.16,0.08,0.25,0.16,0.0,0.0,0.08,0.0,0.0,1.31,0.82,0.41,0.66,0.25,0.41,0.66,62.5,0.25,0.57,0.16,0.41,1.72,0.41,0.0,31.36,0.49,2.78,14.74,13.92,5.0,31.36,1.39,0.49,35.3,0.57,41.2,17.61,96.8,42.5,1.06,0.57,1.97,1.31,23.91,0.0,2.05,1.47,0.9,0.0,0.0,0.0,2.54,1.15,1.64,41.2,1626,33.0,74.78374066174887,74.78374066174887,4,Physical Disruptors
Santiago Giménez,2001-04-18,SerieA,Milan,Left,Mexico,Forwards,669,0.67,0.27,0.94,0.67,0.0,0.13,0.4,0.13,0.65,0.54,0.12,0.66,1.75,0.81,5.11,2.96,1.21,40.9,0.23,0.56,13.5,0.0,0.18,0.03,0.13,10.63,13.18,80.6,129.42,22.74,6.32,7.4,85.5,2.96,3.77,78.6,0.0,0.13,0.0,0.07,0.81,0.67,0.27,0.13,11.03,2.15,0.0,0.13,0.0,0.27,0.27,0.13,0.0,0.0,0.0,0.0,0.27,2.15,1.48,0.0,0.54,0.13,0.0,0.0,0.54,0.27,0.0,0.27,0.0,0.0,0.0,0.67,0.4,0.0,0.54,0.13,0.4,0.54,75.0,0.13,0.4,0.13,0.13,0.81,1.75,0.0,25.43,1.75,3.23,9.55,13.05,4.98,25.29,2.56,0.94,36.8,1.61,63.2,13.59,70.76,37.94,0.67,0.67,2.96,0.27,16.28,0.0,1.48,0.54,0.94,0.0,0.0,0.0,1.88,0.94,1.48,38.9,1787,24.0,70.64291701750166,71.95640000057936,5,Dynamic Strike-Runners
Thijs Dallinga,2000-08-03,SerieA,Bologna,Right,Netherlands,Forwards,1154,0.23,0.16,0.39,0.23,0.0,0.0,0.08,0.0,0.34,0.34,0.05,0.38,0.7,1.33,6.55,2.42,0.86,35.5,0.1,0.27,11.6,0.0,0.14,-0.1,-0.1,16.38,22.85,71.7,229.6,35.1,9.44,12.24,77.1,4.84,6.79,71.3,0.86,1.09,78.6,0.05,0.94,1.09,0.31,0.0,21.68,1.17,0.0,0.0,0.08,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.11,1.56,0.0,0.0,0.23,0.23,0.08,0.39,0.23,0.0,0.0,0.0,0.08,0.08,0.78,0.39,0.0,0.31,0.47,0.23,0.23,100.0,0.0,0.78,0.08,0.08,0.86,1.01,0.08,34.24,1.17,2.18,15.52,16.69,5.07,34.24,0.86,0.16,18.2,0.7,81.8,18.95,80.56,16.61,0.47,0.62,3.28,1.72,26.75,0.0,1.87,1.33,0.62,0.08,0.0,0.0,2.73,3.2,2.81,53.2,1751,25.0,74.2369681035331,74.2369681035331,0,Aerial Target Men
