Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Obite N'Dicka,1999-08-20,SerieA,Roma,Left,Côte d'Ivoire,Center Backs,3420,0.0,0.03,0.03,0.0,0.0,0.0,0.05,0.0,0.03,0.03,0.02,0.05,0.76,2.82,0.13,0.47,0.13,27.8,0.0,0.0,11.2,0.0,0.06,-0.03,-0.03,60.39,65.58,92.1,1110.21,372.03,21.34,22.18,96.2,33.89,35.26,96.1,4.34,6.79,64.0,0.01,0.21,3.26,0.08,0.0,62.47,3.03,1.47,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.08,0.24,0.87,0.79,0.0,0.0,0.08,0.0,0.0,0.08,0.03,0.0,0.0,0.05,0.0,0.0,0.84,0.68,0.45,0.39,0.0,0.37,0.55,66.7,0.18,1.21,0.79,0.87,1.71,3.95,0.05,74.29,9.47,35.47,36.87,2.24,0.68,74.29,0.08,0.0,0.0,0.05,66.7,45.63,230.24,105.5,0.5,0.0,0.53,0.08,54.34,0.0,0.97,0.61,0.03,0.0,0.0,0.0,3.53,1.61,1.29,55.5,1820,26.0,79.2000878992182,79.2000878992182,4,Elite Circulators
Federico Baschirotto,1996-09-20,SerieA,Lecce,Right,Italy,Center Backs,3420,0.05,0.0,0.05,0.05,0.0,0.0,0.08,0.0,0.03,0.03,0.01,0.04,0.34,1.87,0.13,0.58,0.21,36.4,0.09,0.25,11.8,0.0,0.06,0.02,0.02,37.08,43.03,86.2,750.32,255.45,11.66,12.71,91.7,20.05,21.68,92.5,5.16,8.0,64.5,0.01,0.11,1.34,0.13,0.0,38.47,4.47,2.05,0.0,0.39,0.13,0.24,0.0,0.0,0.0,0.0,0.08,0.13,0.45,0.34,0.05,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.97,0.66,0.79,0.13,0.05,0.58,0.74,78.6,0.16,1.16,0.84,0.61,1.58,6.24,0.05,53.76,9.74,32.68,19.37,1.92,0.95,53.76,0.13,0.11,80.0,0.0,0.0,24.74,122.89,65.79,0.24,0.0,0.34,0.03,30.45,0.0,0.82,0.18,0.0,0.0,0.08,0.0,2.45,2.74,1.45,65.4,1583,29.0,74.56728959644964,74.56728959644964,6,No-Nonsense Guardians
Nathan Collins,2001-04-30,PremierLeague,Brentford,Right,Republic of Ireland,Center Backs,3420,0.05,0.08,0.13,0.05,0.0,0.0,0.13,0.0,0.07,0.07,0.05,0.11,0.84,3.34,0.47,0.45,0.16,35.3,0.12,0.33,10.7,0.0,0.15,-0.01,-0.01,44.87,52.24,85.9,863.84,284.18,14.66,16.71,87.7,26.03,28.11,92.6,3.82,6.29,60.7,0.04,0.26,2.92,0.18,0.05,49.92,2.18,1.82,0.08,0.16,0.21,0.29,0.0,0.0,0.0,0.0,0.13,0.21,0.79,0.58,0.05,0.03,0.08,0.05,0.0,0.21,0.11,0.03,0.0,0.03,0.05,0.0,1.05,0.63,0.61,0.32,0.13,0.58,0.95,61.1,0.37,2.03,1.5,0.89,1.95,5.95,0.08,64.08,10.13,33.55,26.37,4.45,1.82,64.08,0.32,0.16,50.0,0.13,41.7,33.92,184.05,108.68,0.32,0.03,0.53,0.21,39.21,0.0,0.76,0.82,0.16,0.05,0.0,0.0,4.26,3.08,1.82,62.9,1811,24.0,78.94904612582985,80.6487442442575,6,No-Nonsense Guardians
Amir Rrahmani,1994-02-24,SerieA,Napoli,Right,Kosovo,Center Backs,3406,0.03,0.08,0.11,0.03,0.0,0.0,0.05,0.0,0.08,0.08,0.03,0.11,0.79,4.97,0.05,0.74,0.08,10.7,0.04,0.33,9.2,0.0,0.1,-0.05,-0.05,66.88,73.49,91.0,1318.63,454.78,22.83,24.07,94.8,35.65,37.28,95.6,7.74,10.75,72.0,0.02,0.29,5.34,0.24,0.0,69.65,3.81,2.67,0.05,0.4,0.03,0.26,0.0,0.0,0.0,0.0,0.03,0.29,1.11,0.92,0.05,0.0,0.13,0.0,0.0,0.11,0.05,0.03,0.0,0.03,0.0,0.0,1.03,0.82,0.5,0.5,0.03,0.42,0.66,64.0,0.24,1.14,0.69,0.71,1.74,4.73,0.05,83.29,7.08,35.8,44.58,3.12,0.9,83.29,0.16,0.11,66.7,0.05,33.3,49.12,235.81,133.49,0.5,0.0,0.24,0.16,59.56,0.0,1.11,0.42,0.0,0.0,0.0,0.03,3.57,3.28,1.45,69.3,1838,31.0,81.05051046304932,81.05051046304932,7,World-Class Hybrid Leaders
Max Kilman,1997-05-23,PremierLeague,West Ham United,Left,England,Center Backs,3348,0.0,0.03,0.03,0.0,0.0,0.0,0.13,0.0,0.04,0.04,0.03,0.08,0.83,3.04,0.16,0.35,0.05,15.4,0.0,0.0,8.9,0.0,0.13,-0.04,-0.04,45.62,52.63,86.7,876.13,290.86,14.68,15.97,91.9,26.61,28.63,93.0,4.03,7.12,56.6,0.03,0.43,2.93,0.11,0.0,51.51,0.99,0.67,0.0,0.32,0.11,0.03,0.0,0.0,0.0,0.0,0.13,0.24,0.86,0.75,0.0,0.05,0.0,0.0,0.05,0.13,0.08,0.0,0.03,0.0,0.0,0.03,1.05,0.65,0.43,0.54,0.08,0.62,0.73,85.2,0.11,1.56,1.08,1.02,2.07,5.7,0.16,63.82,12.47,35.4,25.86,3.04,0.86,63.82,0.59,0.43,72.7,0.05,9.1,34.14,152.47,85.62,0.38,0.05,0.46,0.11,42.5,0.0,0.62,0.35,0.05,0.0,0.0,0.0,3.92,3.04,1.48,67.3,1750,28.0,77.36182111828832,77.36182111828832,1,Mobile Front-Foot Defenders
Nikola Milenković,1997-10-12,PremierLeague,Nottingham Forest,Right,Serbia,Center Backs,3330,0.14,0.05,0.19,0.14,0.0,0.0,0.11,0.0,0.11,0.11,0.03,0.14,0.08,1.38,0.16,0.78,0.22,27.6,0.17,0.63,11.6,0.0,0.14,0.03,0.03,22.97,27.92,82.3,461.97,170.95,6.97,7.92,88.1,12.84,14.54,88.3,2.78,4.51,61.7,0.01,0.24,1.43,0.05,0.0,26.86,0.86,0.86,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.57,0.43,0.0,0.0,0.11,0.0,0.03,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.38,0.78,0.97,0.35,0.05,0.73,0.92,79.4,0.19,1.11,0.65,0.73,2.11,5.65,0.03,38.16,6.95,20.95,14.92,2.41,1.73,38.16,0.03,0.03,100.0,0.0,0.0,14.78,63.38,30.16,0.08,0.05,0.11,0.05,19.65,0.0,0.54,0.14,0.05,0.0,0.0,0.0,2.3,2.73,1.05,72.1,1803,28.0,77.70151761536414,77.70151761536414,6,No-Nonsense Guardians
Virgil van Dijk,1991-07-08,PremierLeague,Liverpool,Right,Netherlands,Center Backs,3330,0.08,0.03,0.11,0.08,0.0,0.0,0.14,0.0,0.06,0.06,0.02,0.08,0.59,5.35,0.16,0.73,0.22,29.6,0.11,0.38,13.1,0.03,0.08,0.02,0.02,72.65,79.32,91.6,1325.32,516.49,29.73,30.89,96.2,36.03,37.76,95.4,6.19,9.22,67.2,0.03,0.32,7.84,0.19,0.0,73.19,6.05,2.32,0.03,0.59,0.03,0.22,0.0,0.0,0.0,0.0,0.08,0.24,1.3,1.11,0.0,0.03,0.08,0.03,0.05,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.03,0.54,0.46,0.51,0.05,0.35,0.59,59.1,0.24,0.73,0.43,1.51,2.54,5.14,0.11,89.22,12.16,35.62,49.38,4.49,1.3,89.22,0.14,0.08,60.0,0.05,40.0,50.16,236.59,130.97,0.65,0.08,0.27,0.14,61.65,0.0,0.46,0.35,0.0,0.0,0.0,0.0,3.11,3.22,1.24,72.1,1993,34.0,83.07364952293545,83.07364952293545,7,World-Class Hybrid Leaders
Dan Burn,1992-05-09,PremierLeague,Newcastle United,Left,England,Center Backs,3330,0.03,0.03,0.05,0.03,0.0,0.0,0.3,0.0,0.05,0.05,0.02,0.08,0.32,2.03,0.38,0.62,0.19,30.4,0.04,0.14,9.7,0.0,0.09,-0.03,-0.03,47.95,54.22,88.4,874.24,307.43,16.78,18.7,89.7,27.81,29.41,94.6,2.97,4.89,60.8,0.03,0.24,1.35,0.24,0.0,53.19,1.0,0.68,0.0,0.32,0.08,0.22,0.0,0.0,0.0,0.0,0.03,0.43,0.73,0.57,0.03,0.0,0.11,0.03,0.0,0.11,0.08,0.03,0.0,0.0,0.0,0.0,1.05,0.65,0.59,0.41,0.05,0.54,0.97,55.6,0.43,0.97,0.7,0.73,1.78,5.32,0.11,64.49,9.89,35.27,25.92,3.51,1.41,64.49,0.11,0.08,75.0,0.03,25.0,36.38,170.86,75.62,0.22,0.03,0.65,0.08,43.65,0.0,0.92,0.32,0.14,0.0,0.0,0.05,2.78,3.95,2.03,66.1,1869,33.0,79.1193925506296,79.1193925506296,6,No-Nonsense Guardians
Florian Lejeune,1991-05-20,LaLiga,Rayo Vallecano,Right,France,Center Backs,3325,0.05,0.08,0.14,0.05,0.0,0.0,0.22,0.0,0.1,0.1,0.05,0.15,0.57,3.87,0.14,1.57,0.46,29.3,0.03,0.12,23.9,0.54,0.06,-0.04,-0.04,46.77,55.81,83.8,1012.3,428.81,13.05,14.51,89.9,26.55,28.23,94.1,7.04,12.32,57.1,0.03,0.38,4.55,0.19,0.08,52.92,2.84,2.3,0.0,0.95,0.22,0.16,0.0,0.0,0.0,0.0,0.05,0.51,1.0,0.73,0.03,0.03,0.22,0.0,0.0,0.11,0.08,0.0,0.0,0.03,0.0,0.0,1.25,0.76,0.81,0.38,0.05,0.62,1.16,53.5,0.54,1.03,0.87,1.11,2.35,4.9,0.03,67.29,8.07,36.16,28.45,3.0,1.03,67.29,0.16,0.11,66.7,0.03,16.7,39.76,185.47,109.79,0.35,0.03,0.46,0.11,43.63,0.0,1.35,0.51,0.0,0.0,0.08,0.0,4.22,2.49,1.62,60.5,1658,34.0,76.97866578479287,76.97866578479287,0,Dominant Anchors
Chris Mepham,1997-11-05,EFLChampionship,Sunderland,Right,Wales,Center Backs,3273,0.03,0.0,0.03,0.03,0.0,0.0,0.28,0.03,0.05,0.05,0.02,0.06,1.13,3.99,0.14,0.39,0.17,42.9,0.07,0.17,12.5,0.0,0.12,-0.02,-0.02,47.74,55.08,86.7,952.96,311.74,12.57,14.02,89.6,30.19,32.17,93.8,4.29,7.48,57.4,0.02,0.33,3.9,0.22,0.0,52.0,2.86,2.09,0.08,0.39,0.0,0.52,0.0,0.0,0.0,0.0,0.22,0.25,0.96,0.88,0.03,0.0,0.06,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.43,0.85,1.02,0.39,0.03,0.88,1.37,64.0,0.5,1.29,0.91,0.93,2.36,6.52,0.08,67.18,8.5,30.58,34.78,2.25,0.96,67.18,0.44,0.41,93.8,0.03,6.3,38.33,253.78,161.22,0.33,0.0,0.39,0.17,41.49,0.0,1.1,0.28,0.03,0.0,0.03,0.0,3.79,2.97,1.7,63.5,1547,28.0,74.15786422590516,74.15786422590516,0,Dominant Anchors
Ben Wilmot,1999-11-04,EFLChampionship,Stoke City,Right,England,Center Backs,3242,0.08,0.0,0.08,0.08,0.0,0.0,0.25,0.0,0.05,0.05,0.03,0.08,0.53,3.08,0.44,0.61,0.19,31.8,0.14,0.43,13.1,0.0,0.08,0.03,0.03,42.34,53.94,78.5,841.54,284.94,14.32,16.27,88.1,22.35,25.43,87.9,5.25,10.58,49.6,0.03,0.25,2.75,0.31,0.17,48.58,5.08,1.11,0.03,0.78,0.47,2.94,0.0,0.0,0.0,0.0,0.28,0.47,1.0,0.75,0.06,0.06,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.97,1.0,0.42,0.08,0.72,1.11,65.0,0.39,1.67,0.83,1.25,2.75,6.3,0.06,66.99,8.33,33.51,29.01,4.77,1.08,66.99,0.47,0.25,52.9,0.19,41.2,33.15,162.15,85.72,0.39,0.08,0.47,0.25,37.31,0.0,0.92,0.58,0.08,0.0,0.03,0.03,3.39,2.14,1.61,57.0,1476,26.0,72.43460952659785,72.43460952659785,2,Classical Defenders
